patient,sample,lane,fastq_1,fastq_2
LU26_F,LU26_F,22LLYKLT4_2,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_S1_L002_I1_001.fastq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_S1_L002_I2_001.fastq.gz
LU26_F,LU26_F,22LLYKLT4_3,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_S1_L002_R1_001.fastq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_S1_L002_R2_001.fastq.gz
LU26_F,LU26_F,22LLYKLT4_L1,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_L1_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_011/01.RawData/LU26_F/LU26_F_MKDN250000833-1A_22LLYKLT4_L1_2.fq.gz
LU26_M,LU26_M,22LK2CLT4_L4,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LK2CLT4_L4_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LK2CLT4_L4_2.fq.gz
LU26_M,LU26_M,22LLYKLT4_L7,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LLYKLT4_L7_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LLYKLT4_L7_2.fq.gz
LU26_M,LU26_M,22LM33LT4_L8,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LM33LT4_L8_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22LM33LT4_L8_2.fq.gz
LU26_M,LU26_M,22YJ3LLT3_L6,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22YJ3LLT3_L6_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/LU26_M/LU26_M_MKDN250000834-1A_22YJ3LLT3_L6_2.fq.gz
PO21_F,PO21_F,22LLYKLT4_L7,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/PO21_F/PO21_F_MKDN250000840-1A_22LLYKLT4_L7_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/PO21_F/PO21_F_MKDN250000840-1A_22LLYKLT4_L7_2.fq.gz
PO21_F,PO21_F,22LM33LT4_L4,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/PO21_F/PO21_F_MKDN250000840-1A_22LM33LT4_L4_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_009/01.RawData/PO21_F/PO21_F_MKDN250000840-1A_22LM33LT4_L4_2.fq.gz
PO21_M,PO21_M,22LLYKLT4_L7,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_012/01.RawData/PO21_M/PO21_M_MKDN250000841-1A_22LLYKLT4_L7_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_012/01.RawData/PO21_M/PO21_M_MKDN250000841-1A_22LLYKLT4_L7_2.fq.gz
PO21_M,PO21_M,22LM33LT4_L5,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_012/01.RawData/PO21_M/PO21_M_MKDN250000841-1A_22LM33LT4_L5_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_012/01.RawData/PO21_M/PO21_M_MKDN250000841-1A_22LM33LT4_L5_2.fq.gz
ST24_F,ST24_F,22LLYKLT4_L3,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L3_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L3_2.fq.gz
ST24_F,ST24_F,22LLYKLT4_L4,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L4_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L4_2.fq.gz
ST24_F,ST24_F,22LLYKLT4_L5,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L5_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L5_2.fq.gz
ST24_F,ST24_F,22LLYKLT4_L6,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L6_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LLYKLT4_L6_2.fq.gz
ST24_F,ST24_F,22LM33LT4_L6,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LM33LT4_L6_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_F/ST24_F_MKDN250000847-1A_22LM33LT4_L6_2.fq.gz
ST24_M,ST24_M,22LLYKLT4_L1,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_M/ST24_M_MKDN250000848-1A_22LLYKLT4_L1_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_M/ST24_M_MKDN250000848-1A_22LLYKLT4_L1_2.fq.gz
ST24_M,ST24_M,22LLYKLT4_L2,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_M/ST24_M_MKDN250000848-1A_22LLYKLT4_L2_1.fq.gz,/mnt/Poles/Genomes/Olivier/X204SC24107022-Z01-F001_002/01.RawData/ST24_M/ST24_M_MKDN250000848-1A_22LLYKLT4_L2_2.fq.gz
